label,cat_3,value,cat_6,num_date_review,location_id,cat_8,cat_10,cat_11,com_type,cat_12,unknown_var_7,unknown_var_8,unknown_var_9,unknown_var_13,unknown_var_17,social_friend_count,delta_time,delta_date,age
0,,,,,,,,,,,5.0,10.60660172,-2.5,,2901.0,285.0,,,
0,,,,,,,,,,,84.0,55.15432893,45.0,,,2534.0,,,
0,L,3367400.0,L,0.0,L,S,M,L,M,L,2.0,1.414213562,1.0,0.33,,653.0,0.0,,41.0
1,,,,,,,,,,,0.0,,0.0,,,0.0,,,
1,,,,,,,,,,,-92.0,,-92.0,,,0.0,,,
1,,,,,,,,,,,-71.0,,-71.0,,726.0,3416.0,,,
0,L,4500000.0,L,9.0,L,L,L,L,L,L,,,,0.62,,0.0,1.801,1555.0,33.0
0,L,3969700.0,L,4.0,L,L,M,L,M,L,,,,0.43,,0.0,0.112,1706.0,31.0
1,,,,,,,,,,,,,,,,0.0,,,
0,L,4258600.0,L,0.0,L,M,L,L,L,L,6.0,3.464101615,3.0,0.49,710.0,0.0,0.0,1794.0,25.0
0,L,3522350.0,L,6.0,L,L,M,L,M,L,,,,0.35,,0.0,0.0,1647.0,35.0
0,,,,,,,,,,,,,,,,362.0,,,
0,,,,,,,,,,,37.0,17.89785834,16.33333333,,1432.0,0.0,,,
1,L,4386000.0,L,13.0,L,L,M1,L,S1,M1,37.0,18.71719352,23.33333333,0.52,2177.0,1079.0,9.974,1424.0,27.0
1,,,,,,,,,,,,,,,,2678.0,,,
0,L,20000000.0,L,1.0,L,M,L,L,L,L,75.0,90.66587009,-4.6,0.99,,2692.0,9.547,1787.0,39.0
0,M,4766000.0,L,26.0,L,L,L,L,L,S1,,,,0.71,,0.0,0.001,1041.0,32.0
0,,,,,,,,,,,14.0,34.9988095,-11.25,,-4.0,0.0,,,
1,L,2771400.0,L,18.0,L,M,M,L,M,L,,,,0.29,,0.0,0.188,1276.0,32.0
0,M,4000000.0,L,12.0,L,L,M,L,M,L,,,,0.44,,2346.0,0.692,1429.0,43.0
0,,,,,,,,,,,14.0,23.42897067,-4.75,,,0.0,,,
0,,,,,,,,,,,,,,,,0.0,,,
0,,,,,,,,,,,0.0,,0.0,,,333.0,,,
0,L,4260000.0,L,6.0,L,L,L,L,L,M1,,,,0.49,,879.0,9.612,1650.0,36.0
1,,,,,,,,,,,1.0,,1.0,,3267.0,0.0,,,
1,L,3000000.0,L,0.0,L,M,L,L,L,,74.0,100.1482235,-4.5,0.3,,662.0,0.0,,34.0
0,L,2451000.0,L,0.0,L,L,L,M1,L,S1,-19.0,,-19.0,0.28,,246.0,0.0,1838.0,37.0
1,L,3000000.0,L,0.0,L,M,L,L,L,,,,,0.3,,662.0,0.0,,34.0
0,L,2361400.0,L,0.0,L,L,M,M1,S,L,,,,0.28,2896.0,0.0,0.0,1820.0,31.0
1,L,4300000.0,L,30.0,L,L,L,L,L,L,14.0,30.5908483,-7.4,0.52,2187.0,442.0,0.0,929.0,32.0
0,L,2771400.0,L,18.0,L,M,M,L,M,L,,,,0.29,1435.0,0.0,0.188,1276.0,32.0
0,,,,,,,,,,,115.0,55.0416509,32.75,,,169.0,,,
1,L,2900800.0,L,0.0,L,L,L,M1,L,L,50.0,105.1284928,-15.0,0.3,,1787.0,0.0,,30.0
1,,,,,,,,,,,17.0,33.9411255,-7.0,,,464.0,,,
