label,value,num_date_review,unknown_var_7,unknown_var_8,unknown_var_9,unknown_var_13,unknown_var_17,social_friend_count,delta_time,delta_date,age,cat_3,cat_6,location_id,cat_8,cat_10,cat_11,com_type,cat_12
0,4500000.0,11.0,84.0,55.15432893,45.0,0.62,2164.0,2534.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,3367400.0,0.0,2.0,1.414213562,1.0,0.33,2177.0,653.0,0.0,-143.0,41.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0
1,4500000.0,11.0,0.0,20.25421284,0.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,-71.0,20.25421284,-71.0,0.62,726.0,3416.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
0,4500000.0,9.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,1.801,1555.0,33.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,3969700.0,4.0,15.0,17.0098011,2.5,0.43,2167.0,0.0,0.112,1706.0,31.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,362.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,37.0,17.89785834,16.33333333,0.62,1432.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4386000.0,13.0,37.0,18.71719352,23.33333333,0.52,2177.0,1079.0,9.974,1424.0,27.0,1.0,0.0,2.0,1.0,4.0,2.0,3.0,4.0
0,4766000.0,26.0,20.0,33.50994877,3.5,0.71,1263.5,0.0,0.001,1041.0,32.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0
1,2771400.0,18.0,19.0,18.80159568,2.4833333335,0.29,2893.0,0.0,0.188,1276.0,32.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
0,4000000.0,12.0,15.5,13.02689526,2.763888889,0.44,2531.0,2346.0,0.692,1429.0,43.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,14.0,23.42897067,-4.75,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,0.0,20.25421284,0.0,0.62,2164.0,333.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,1.0,20.25421284,1.0,0.62,3267.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,3000000.0,0.0,74.0,100.1482235,-4.5,0.3,2173.0,662.0,0.0,1396.5,34.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,2451000.0,0.0,-19.0,29.82076085,-19.0,0.28,2531.5,246.0,0.0,1838.0,37.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
1,4300000.0,30.0,14.0,30.5908483,-7.4,0.52,2187.0,442.0,0.0,929.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,2771400.0,18.0,19.0,18.80159568,2.4833333335,0.29,1435.0,0.0,0.188,1276.0,32.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,115.0,55.0416509,32.75,0.62,2164.0,169.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,2900800.0,0.0,50.0,105.1284928,-15.0,0.3,2359.5,1787.0,0.0,993.0,30.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0
1,4500000.0,11.0,17.0,33.9411255,-7.0,0.62,2164.0,464.0,0.885,1435.0,32.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
